AdfgStreamCode,StreamName,SurveyDate,Comments,BeginLatitude,BeginLongitude,BeginComments,EndLatitude,EndLongitude,EndComments,ExtentLatitude,ExtentLongitude,ExtentComments,DistanceMeters,SpeciesCode,CommonName,AliveCount,DeadCount,PreviouslySampledCount,TotalCount,NumberofSpecimens,NumberStrays,PercentStrays,numReadOK,numMarked,numUnMarked,SurveySamplers
101-30-10600,Marten River,8/10/15,"SURVEY QUALITY: GOODStarted survey where we left off on the previous day and worked down. Found many carcasses and were able to reach our sampling goal. Found many chum at the mouth of a small tributary to the left (if you are going upstream). Some had spawned and were stranded in a isolated pool. We never made it down low towards the tideflat, although observation from the jetboat suggests there are fewer carcasses down there. Dead greatly outnumbered alive fish and most fish seen were actively spawning.",55.18768975,-130.464291,,55.18253315,-130.4862466,,,,,1511.786404,450,Chum Salmon,65,219,,284,228,9,4.04,223,9,214,"Neve Baker, Bryan Ferguson, Adam McDaniel"
101-30-10600,Marten River,8/21/15,"SURVEY QUALITY: GOOD Lots of dead pinks and chums. Only a few live chums seen, most carcasses were rotten. Good water level and visibility. Slightly lower levels than the last visit.",55.19553413,-130.4620574,,55.17386699,-130.4960631,,,,,3242.013416,450,Chum Salmon,11,203,,214,192,3,1.67,180,3,177,"Neve Baker, Bryan Ferguson, Adam McDaniel"
101-45-10780,Carroll Creek,8/4/13,,55.64756592,-131.3623749,,55.67861817,-131.3545819,,,,,3491.838148,450,Chum Salmon,329,,,329,60,2,3.33,60,2,58,"Bryan Ferguson, Dale Brandenburger, Dave Magnus, Tessa Minicucci"
101-45-10780,Carroll Creek,8/10/13,,55.64412164,-131.3587883,,55.67890608,-131.3533309,,,,,3887.950403,450,Chum Salmon,345,30,,375,168,8,4.76,168,8,160,"Bryan Ferguson, Dale Brandenburger, Tessa Minicucci"
101-45-10780,Carroll Creek,7/25/14,Thanks Andy and Malika for collecting a sample for us on their foot survey!,,,,,,,,,,,450,Chum Salmon,210,0,,210,1,0,0,1,0,1,"andy piston, malika brunette"
101-45-10780,Carroll Creek,8/7/14,"flew into mouh, hiked road to bridge (side channel) then hiked upstream. once we turned around we hiked main stream rest of the way down.  road is good access.",55.64250601,-131.3584004,,55.66815213,-131.3561402,,,,,2858.867348,450,Chum Salmon,2500,10,,2510,63,0,0,63,0,63,"Ben Adams, andy piston, malika brunette"
101-45-10780,Carroll Creek,8/14/14,Jarrod and Ben flew into Carroll with Andy and Malika. We walked the road and then cut into the trib from the bridge. Collected samples up from there. Walked road back. Andy and Malika walked entire stream and observed very few chum below road. ,55.63911243,-131.3549714,,55.67031782,-131.3553352,,,,,3474.344527,450,Chum Salmon,1530,125,,1655,268,5,1.88,266,5,261,"Ben Adams, andy piston, malika brunette, jarrod yelton"
101-45-10780,Carroll Creek,8/25/14,wtf,55.65720503,-131.3602,,,,,,,,,450,Chum Salmon,,,,,44,2,4.76,42,2,40,"Dale Brandenburger, Adam McDaniel"
101-45-10780,Carroll Creek,8/14/15,SURVEY QUALITY: GOOD River was loaded with carcasses throughout the tide flat and early part of survey. These fish were likely washed down with recent rains and high water. At the upper end of our survey there were many fresh chums actively working redds and carcasses were becoming fewer and fewer. I suspect the next visit will also be very productive. Cell C06 on tray 20155084 was found empty at the end of the season. Assume roc C in this tray is unsure pairing. Beads align in other cells. Rest of tray OK. ,55.65189743,-131.3559776,,55.65740248,-131.3602042,,,,,668.1629572,450,Chum Salmon,162,322,,484,288,9,3.23,279,9,270,"Neve Baker, Bryan Ferguson, Adam McDaniel"
101-45-10780,Carroll Creek,8/25/15,"SURVEY QUALITY: GOOD Still quite a few chums in system working redds. Lots of carcasses. We got most of our samples in the upper reaches of the creek, above where we retrieved samples on our first visit. Good visibility, signs of recent flooding along creek.",55.6517523,-131.3554949,,55.67220073,-131.3532226,,,,,2281.126478,450,Chum Salmon,109,356,,465,192,2,1.06,189,2,187,"Neve Baker, Bryan Ferguson, Adam McDaniel"
101-71-10040,King Creek,8/5/13,,55.84179046,-130.8459039,,55.82665726,-130.8152832,,,,,2553.48201,450,Chum Salmon,138,,,138,65,5,7.94,63,5,58,"Bryan Ferguson, Dale Brandenburger, Dave Magnus, Tessa Minicucci"
101-71-10040,King Creek,8/12/13,,55.8415272,-130.8491868,,55.82595645,-130.8151183,,,,,2750.017576,450,Chum Salmon,68,,,68,277,23,8.55,269,23,246,"Bryan Ferguson, Dale Brandenburger, Tessa Minicucci"
101-71-10040,King Creek,8/2/14,"3 kings observed , bad bugs",55.84158924,-130.8490816,,55.81989338,-130.8071072,,,,,3571.239224,450,Chum Salmon,107,3,,110,28,1,3.57,28,1,27,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
101-71-10040,King Creek,8/23/14,...,55.84090763,-130.8499291,,55.82169764,-130.807419,,,,,3416.239956,450,Chum Salmon,67,172,,239,177,4,2.31,173,4,169,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
101-71-10040,King Creek,8/7/15,SURVEY QUALITY: GOOD River level up a bit but clear water with good visibility. Lots of fresh chums throughout survey reach. After collection of cell F03 the tray was shaken without the lid sdecure. All of these early samples are now uncertain pairing. It is unknown which otoliths jumped cells or which cell some came from that fell out onto sand. All otoliths should be present but the order is now unknown. Everything is good after the F04 cell. The bead has been removed from B05 and C08 since it had jumped from that cell.,55.84136054,-130.8498456,,55.82966081,-130.8163002,,,,,2472.795275,450,Chum Salmon,557,87,,644,120,0,0,112,0,112,"Neve Baker, Bryan Ferguson, Adam McDaniel"
101-71-10040,King Creek,8/19/15,Good visibility. Not many fish left in the creek. Most live chums were postspawn looking. Many carcasses were very rotten. It appears to be on the tail end of the run.,55.8409332,-130.8445405,,55.82967927,-130.8166493,,,,,2150.377417,450,Chum Salmon,91,310,,401,288,7,2.49,281,7,274,"Neve Baker, Bryan Ferguson, Adam McDaniel"
101-71-10040,King Creek,8/29/15,SURVEY QUALITY: FAIRCreek was very high from recent heavy rains but finally dropping. We surveyed as far up as we could with the high water. Very few live fish or carcasses were seen and high water levels were observed. Seems like many fish have been washed out. Heavy rains continued as we walked out of survey.,55.83873711,-130.8353134,,55.83351643,-130.8213171,,,,,1052.106629,450,Chum Salmon,6,16,,22,13,0,0,13,0,13,"Neve Baker, Bryan Ferguson, Adam McDaniel"
101-71-10040,King Creek,8/30/15,"Creek had come up nearly a foot since conditions were to high yesterday, surveyed lower reaches from jet boat. Drifted down and checked over shoreline and spots that could collect carcasses. System has been flushed out not much remains in stream and still raining.",55.83837613,-130.8349851,,55.84130155,-130.8497496,,,,,980.6702999,450,Chum Salmon,0,2,,2,2,1,50,2,1,1,"Neve Baker, Bryan Ferguson, Adam McDaniel"
107-40-10490,Harding River,8/2/13,,56.20772844,-131.6255708,,56.23319868,-131.6582172,,,,,3484.92499,450,Chum Salmon,26,,,26,7,1,16.67,6,1,5,"Bryan Ferguson, Dale Brandenburger, Dave Magnus, Tessa Minicucci"
107-40-10490,Harding River,8/4/14,helicopter,56.21798509,-131.6385026,,56.26714077,-131.6556716,,56.25683351,-131.6503535,,5575.855478,450,Chum Salmon,320,5,,325,106,2,1.92,104,2,102,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
107-40-10490,Harding River,8/21/14,heli-fishing,56.21471195,-131.6389566,,56.25176349,-131.6543657,,,,,4234.774452,450,Chum Salmon,,,,,88,7,8.14,86,7,79,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
107-40-10490,Harding River,8/13/15,"SURVEY QUALITY: POOR Helicopter survey for the Harding. River high and muddy with very poor visiibility. No count was able to be conducted. Stopped on gravel bars and searched for carcasses throughout the river system. Start and end location were upper and lower processing areas, later entered manually.",56.252,-131.654,,56.224,-131.644,,,,,3178.759762,450,Chum Salmon,,53,,53,54,4,7.55,53,4,49,"Neve Baker, Bryan Ferguson, Adam McDaniel"
107-40-10490,Harding River,8/27/15,"SURVEY QUALITY: GOODRiver much lower and more accessible than first visit. Chum carcasses found were very rotten and mushy. We are a bit late. Not many carcasses at all, likely from recent floood. The carcasses that are present are pink salmon.",56.25243298,-131.6527693,,56.22740329,-131.6481093,,,,,2801.898874,450,Chum Salmon,10,41,,51,38,7,19.44,36,7,29,"Neve Baker, Bryan Ferguson, Adam McDaniel"
108-40-10150,North Arm Creek,7/30/13,Live counts are mostly fresh fish,56.68583841,-132.309385,,56.69963696,-132.3254154,,,,,1823.641802,450,Chum Salmon,469,0,,469,69,8,11.76,68,8,60,"Bryan Ferguson, Dale Brandenburger, Dave Magnus, Tessa Minicucci"
108-40-10150,North Arm Creek,8/17/13,end lat long is same as last processing area,56.68537711,-132.3086895,,56.68724867,-132.3115855,,,,,273.734381,450,Chum Salmon,27,,,27,384,11,2.96,372,11,361,"Bryan Ferguson, Dale Brandenburger, Tessa Minicucci"
108-40-10150,North Arm Creek,7/27/14,"pretty early, not many spawn outs",56.68548382,-132.307857,,56.69134226,-132.3187946,,,,,935.3094891,450,Chum Salmon,489,2,,491,13,1,8.33,12,1,11,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
108-40-10150,North Arm Creek,8/6/14,not many at mouth,56.6853972,-132.3086131,,56.69191444,-132.320708,,,,,1037.299258,450,Chum Salmon,220,124,,344,192,6,3.24,185,6,179,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
108-40-10150,North Arm Creek,8/19/14,foggy,56.68574928,-132.3098936,,56.69520599,-132.3206232,,,,,1241.437488,450,Chum Salmon,73,24,,97,54,1,1.89,53,1,52,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
108-40-10150,North Arm Creek,7/28/15,SURVEY QUALITY: FAIR Water running high but clear; saw fresh fish in lower stretches; signs of recent flooding - may have washed out carcasses.20155067,56.68541795,-132.3088529,,56.69098465,-132.3197898,,,,,912.9225129,450,Chum Salmon,52,3,,55,3,0,0,3,0,3,"Neve Baker, Bryan Ferguson, Adam McDaniel"
108-40-10150,North Arm Creek,8/3/15,SURVEY QUALITY: EXCELLENTStream was at a fairly low flow and was clear. Many fresh chums working redds as well as recent carcasses from postspawn fish.,56.68539812,-132.3087718,,56.69587256,-132.3221411,,,,,1425.317219,450,Chum Salmon,229,56,,285,72,4,5.71,70,4,66,"Neve Baker, Bryan Ferguson, Adam McDaniel"
108-40-10150,North Arm Creek,8/16/15,"SURVEY QUALITY: EXCELLENTGood visibility with low clear water. Some live chum still seen spawning, most samples were carcasses. Appears to be on the tail end of the run. ",56.68536332,-132.308579,,56.6946814,-132.3201647,,,,,1257.232149,450,Chum Salmon,111,284,,395,288,9,3.2,281,9,272,"Neve Baker, Bryan Ferguson, Adam McDaniel"
109-44-10350,Straight Creek,8/31/15,"Straight creek, 109-44-10350, was surveyed as an alternate creek to Saginaw Bay S Head (109-44-10370) because on three visits  only ** samples were taken, and very few fish were seen on the creek.  Straight creek is in the same drainage and the two creeks connect in the low intertidal zone.SURVEY QUALITY: GOODLeft the Bear at 0800 and hiked along the creek.  No live or dead chum were seen on the creek, and the stream substrate was muddy and sandy throughout with very little spawning habitat for chum.  Sparse pockets of pinks were seen.  Water normal and a little dark.  Weather was partly cloudy.  High tide was at 1508 of 18.7' (Petersburg).",56.84715593,-134.1286797,,56.83790959,-134.101502,,,,,1952.222214,450,Chum Salmon,0,0,,0,0,,,,,,"Aaryn Smith, Ashley Bolwerk, Danielle Watson"
109-44-10370,Saginaw Bay S Head,8/18/13,,56.84454173,-134.1247738,,56.83270554,-134.1082542,,,,,1659.47256,450,Chum Salmon,15,50,,65,17,0,0,17,0,17,"Tom Glass, Jarrod Yelton, Brian Glynn"
109-44-10370,Saginaw Bay S Head,8/22/13,,56.84358205,-134.119377,,56.83357658,-134.1088274,,,,,1286.854401,450,Chum Salmon,12,,,12,87,1,1.16,86,1,85,"Bryan Ferguson, Dale Brandenburger, Tessa Minicucci"
109-44-10370,Saginaw Bay S Head,8/13/14,...,56.83343288,-134.1097949,,56.84612411,-134.1279435,,,,,1795.610892,450,Chum Salmon,26,0,,26,11,2,18.18,11,2,9,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
109-44-10370,Saginaw Bay S Head,8/30/14,"Hiked in to stream via road, at first bridge we came to we headed downstream to the mouth. No chums, many pinks. We headed back to the bridge and then continued up stream where we saw all of the salmon in both the alive and dead counts. Probably few chums overall, but we got the feeling that we were late for whatever had been there.",56.84392496,-134.1216869,,56.8327226,-134.1077868,,,,,1508.621561,450,Chum Salmon,4,8,,12,8,1,12.5,8,1,7,"Adrienne Wilber, Bryan Ferguson, Scott Fox"
109-44-10370,Saginaw Bay S Head,8/11/15,"SURVEY QUALITY: FAIR Left the Bear at 1330.  Went ashore where the float house in anchored, and hiked up to the logging road.  We then hiked along the logging road until we got to the creek.  We sampled the top portion of the creek first.  Very few chums were seen.  The right fork of the creek serves as the end point in the survey.  It had more chum than the left fork, but also had a ton of log jams, which made travel slow and difficult.  We eventually turned around when the log jams became so thick because we were running out of time.  The left fork was much easier to hike, but only a few chum were seen at the beginning of the fork.  We turned around from the left fork at N56 49.813, W134 06.053.  We then hiked back down to the bridge.  108 chum were seen above the bridge and only 7 below.  Some chum were seen in the intertidal zone on the way out.  Saginaw is characterized by log jams throughout the creek and lots of overhanging alders for chums to hide under.  The stream seemed low, but visibility was still low in deep pools.  The water was murky.  High tide was at 1217 of 13.5' (Petersburg).  Light drizzle throughout the day.  Three black bears seen.",56.8459963,-134.1280807,,56.83106551,-134.1037874,,,,,2227.761942,450,Chum Salmon,115,5,,120,12,2,20,10,2,8,"Ashley Bolwerk, Aaryn Smith, Danielle Watson"
109-44-10370,Saginaw Bay S Head,8/19/15,"SURVEY QUALITY: GOOD Left the Bear at 0800 and got dropped off in the intertidal area of the creek.  Surveyed upstream.  Less than 5 chum seen below the bridge.  On our last visit we indicated that the stream had two forks.  On this visit we discovered that it is just a long braid section.  The right braid was the more productive of the two.  We were also able to obtain an extent location on this visit.  The chum migration ends in a 5 foot waterfall.  No chum were seen within 0.5 miles of the extent.  Reached the end location at 1230.  Roughly half of the chums observed were moldy, but many were still bright and observed to be spawning.  Hiked out on the road.  Stream was low and visibility was moderate.  This creek has dark water and pools.  Weather was mostly cloudy.  High tide was at 1646 of 15.0' (Petersburg).  ",56.84743338,-134.1344264,,56.82090138,-134.1037475,,56.82120647,-134.1037481,,3498.031742,450,Chum Salmon,55,20,,75,19,2,10.53,19,2,17,"Ashley Bolwerk, Aaryn Smith, Danielle Watson"
109-44-10370,Saginaw Bay S Head,8/30/15,"Left the Bear at 0800 and got dropped off at the logging road to hike in to the creek.  We hiked to the highest point that chum had been observed on our last visit and started the survey as we headed downstream.  Do to heavy rain throughout the morning the creek flooded to an unsafe level by the time we came down from the second braid.  Up until that point we had seen 17 live chum and 4 dead, but we were unable to complete the live/dead for the entire survey area.  We bushwhacked most of the way down the creek and hiked back on the logging road rather than trying to finish hiking out to the mouth of the creek.  The creek was murky and higher at the beginning of the day, moving to very high and terrible visibility by afternoon.  High tide was 1448 of 18.2' (Petersburg).",56.82772542,-134.1009458,,56.83801836,-134.1137587,,,,,1387.630481,450,Chum Salmon,,,,,4,1,25,4,1,3,"Ashley Bolwerk, Aaryn Smith, Danielle Watson"
109-62-10240,Petrof Bay W Head,8/17/13,200 fish in saltwater,56.36256528,-134.0682954,,56.35744138,-134.0674722,,56.36040449,-134.0689471,,572.8031578,450,Chum Salmon,200,91,,291,91,0,0,89,0,89,"Tom Glass, Jarrod Yelton, Brian Glynn"
109-62-10240,Petrof Bay W Head,8/23/13,,56.36443185,-134.0655948,,56.35989627,-134.0678124,,,,,523.3002653,450,Chum Salmon,32,,,32,384,0,0,380,0,380,"Bryan Ferguson, Dale Brandenburger, Tessa Minicucci"
109-62-10240,Petrof Bay W Head,8/14/14,beaver dam blown out,56.36430106,-134.0660065,,56.35430012,-134.0687783,,,,,1126.691977,450,Chum Salmon,847,115,,962,221,2,0.93,214,2,212,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
109-62-10240,Petrof Bay W Head,8/31/14,...,56.36229908,-134.0690934,,56.35930709,-134.0672931,,,,,351.2446522,450,Chum Salmon,62,168,,230,168,0,0,162,0,162,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
109-62-10240,Petrof Bay W Head,8/20/15,"SURVEY QUALITY: GOOD Left the Bear at 0800 and got dropped off in the intertidal zone of the creek.  We surveyed upstream.  Several dozen fresh chum were seen in the intertidal zone waiting to enter the stream.  Most of the creek was less than 15cm deep and narrow, winding through overhanging brush.  Almost all of our samples came from dead chum that looked fresh, many of which had not yet spawned.  We turned around when the creek started to cascade at 1215.  Water was low with moderate visibility due to dark water and glare from the sun.  Partly cloudy all day.  High tide was at 0503. ",56.36370914,-134.0673712,,56.35222974,-134.0688686,,,,,1281.559657,450,Chum Salmon,238,117,,355,102,6,5.88,102,6,96,"Ashley Bolwerk, Aaryn Smith, Danielle Watson"
109-62-10240,Petrof Bay W Head,8/29/15,"SURVEY QUALITY: FAIR Left the Bear at 0800 and got dropped off in the intertidal zone of the creek.  Processed upstream, until we came to a long cascade stretch.  Most of the live chum observed were very moldy and lethargic.  Roughly 1/3 of today's samples came from live fish.  Carcasses sampled came from a mix of freshly dead fish and ones that were a bit degraded.  Visibility was not good as the creek has dark water, although there are very few deep spots in the entire creek.  The water was up from our previous visit.  Weather was rainy in the morning becoming mostly cloudy in the afternoon.  High tide was at 1347 of 17.2' (Petersburg).",56.36460591,-134.0653349,,56.35246939,-134.069191,,,,,1372.241142,450,Chum Salmon,389,331,,720,300,0,0,297,0,297,"Ashley Bolwerk, Aaryn Smith, Danielle Watson"
110-23-10100,Johnston Creek,7/27/13,,57.50258412,-134.0867758,,57.51096647,-134.1589168,,,,,4424.019055,450,Chum Salmon,422,2,,424,2,0,0,2,0,2,"Bryan Ferguson, Dale Brandenburger, Laurinda Marcello"
110-23-10100,Johnston Creek,7/31/13,,57.50099859,-134.0849583,,57.51012434,-134.113338,,,,,1981.697601,450,Chum Salmon,3000,15,,3015,19,2,10.53,19,2,17,"Bryan Ferguson, Dale Brandenburger, Laurinda Marcello"
110-23-10100,Johnston Creek,8/4/13,,57.50274276,-134.0868462,,57.5165166,-134.1195741,,,,,2490.239307,450,Chum Salmon,175,150,,325,107,2,1.92,104,2,102,"Bryan Ferguson, Dale Brandenburger, Laurinda Marcello"
110-23-10100,Johnston Creek,8/20/13,,57.5066255,-134.1032387,,57.51534248,-134.1452566,,,,,2699.054798,450,Chum Salmon,10,,,10,3,0,0,3,0,3,"Bryan Ferguson, Dale Brandenburger, Tessa Minicucci"
110-23-10100,Johnston Creek,8/3/14,"No chums seen in flats, some further up the stream, lots of pinks, no bear kills.",57.49950122,-134.0743633,,57.51594973,-134.1434835,,,,,4530.112098,450,Chum Salmon,101,1,,102,2,0,0,2,0,2,"Adrienne Wilber, Bryan Ferguson, Scott Fox"
110-23-10100,Johnston Creek,8/12/14,same day as east of snug,57.50728369,-134.1043138,,57.51238456,-134.1579696,,,,,3265.842759,450,Chum Salmon,96,10,,106,22,0,0,22,0,22,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
110-23-10100,Johnston Creek,7/29/15,"SURVEY QUALITY: FAIR Got to shore at 0930.  Hiked 1.5 miles across tide flat to stream channel to start the survey.  The bottom of the creek was very dark reducing accurate identification of chum.  Hiked 5.29 miles upstream from start.  Most chum were counted in the last 2 miles of the survey.  Completed survey when stream began to braid.  Chum are likely present above, but we needed to turn around to get our skiff.  Most chums were prespawn.  Lots of pinks visible throughout.  Stream is wide.  0 bears seen.  Beaver sign and beaver damn found on the creek.  Rain most of the day.  High tide at 1252 of 14' (Petersburg). Upon returning for the skiffs we found that the strong winds had blown them ashore at high tide.  ",57.49877468,-134.0770634,,57.51280999,-134.1628716,,,,,5376.053012,450,Chum Salmon,244,1,,245,0,,,,,,"Ashley Bolwerk, Aaryn Smith, Danielle Watson"
110-23-10100,Johnston Creek,8/8/15,"SURVEY QUALITY: GOOD Left the Bear at 0800 and got dropped off just below the tree line.  Counted and sampled fish on the way up the creek.  Many fresh chums seen low on the creek.  Most samples came from dead fish, which were very prevatent in the last two miles of the stream.  Lots of chums were seen on redds that were in shallow water due to low water level.  This was the first stream visit where prevalent postspawn (non-preyed upon) pink salmon carcasses were seen.  Surveyed 5.61 miles total for the day.  Turn around time of 1730 due to stream narrowing, braiding and becoming overgrown.  Got picked up on the way out at 1945.  Creek was low with good visibility.  High tide at 0848 of 12.0' (Petersburg).  Sunny all day.  Two bears seen during the survey.",57.50360104,-134.0951586,,57.51229085,-134.1567929,,,,,3819.124999,450,Chum Salmon,640,178,,818,196,1,0.52,191,1,190,"Ashley Bolwerk, Aaryn Smith, Danielle Watson"
110-23-10100,Johnston Creek,8/21/15,"SURVEY QUALITY: FAIR Survey began at 8:15 am during mid-tide. Surveyed and processed fish from tide-flats to tree line then continued live/dead count without sampling to furthest point. Water level low, clarity fair. Lots of dead salmon. Numbers of live salmon made live counts fair. Saw sow and two cubs on the return trip. Great day. Kicked ass. Took otoliths. Sampled 307 individuals, which was especially significant for our team crew-lead. 'Wyoming', he said simply. ",57.49189908,-134.068529,,57.51428756,-134.148708,,,,,5414.926234,450,Chum Salmon,166,320,,486,307,2,0.66,304,2,302,"Alaire Hughey, Jarrod Yelton, Katie Shink, Brian LeBlanc"
110-23-10210,East of Snug Cove,7/31/13,Fish in saltwater,57.42172962,-133.9280484,,57.41473179,-133.9404215,,,,,1077.087223,450,Chum Salmon,0,0,,0,0,,,,,,"Bryan Ferguson, Dale Brandenburger, Laurinda Marcello"
110-23-10210,East of Snug Cove,8/5/13,Prespawn,57.41815728,-133.9283321,,57.41358125,-133.9426735,,,,,1001.218519,450,Chum Salmon,800,50,,850,35,0,0,35,0,35,"Bryan Ferguson, Dale Brandenburger, Laurinda Marcello"
110-23-10210,East of Snug Cove,8/20/13,most samples from dead fish,57.41808902,-133.9272761,,57.4137651,-133.9418557,,57.41378316,-133.9418123,,999.7370887,450,Chum Salmon,128,,,128,148,0,0,141,0,141,"Bryan Ferguson, Dale Brandenburger, Tessa Minicucci"
110-23-10210,East of Snug Cove,8/2/14,"very few fish in creek. both pinks and chums contained to a few deep pools. water is low. saw some chums past first rocky barrier but not above big log waterfall dropoff, marked this as upper extent. ",57.41837228,-133.9293151,,57.40836617,-133.9507765,,57.41064985,-133.9474544,,1704.48509,450,Chum Salmon,22,6,,28,0,,,,,,"Adrienne Wilber, Bryan Ferguson, Scott Fox"
110-23-10210,East of Snug Cove,8/12/14,"visited 2 days after heavy rain, not many fish",57.41767182,-133.9252208,,57.4142097,-133.94208,,,,,1083.997704,450,Chum Salmon,76,9,,85,13,0,0,12,0,12,"Dale Brandenburger, Meg Robinson, Adam McDaniel"
110-23-10210,East of Snug Cove,7/30/15,"SURVEY QUALITY: FAIR Went ashore at 1000.  Anchored on the righthand side just as you entered the cove on an incoming tide.  Hiked across the tide flat to start the survey well within the intertidal zone.  No chums were seen until the grass started right before tree line.  Chums were seen throughout most of the stream, until the suvey was ended at a small impaccable gorge.  Survey was completed at 1230.  Very few pinks were seen.  Roughly 40% of chums observed were on redds, but none were moldy.  Stream water is dark, which impedes identification in deep pools.  Throughout, the stream is shallow and narrow with very few log jams.  Periodic rain throughout the day.   On the way out it was high tide at 1334 of 15.2' (Petersburg), which meant we walked around the forest edge to get back to the skiffs.  Saw three deer and no bears.",57.41814591,-133.9248097,,57.41413923,-133.9420705,,,,,1129.147376,450,Chum Salmon,83,1,,84,0,,,,,,"Ashley Bolwerk, Aaryn Smith, Danielle Watson"
